fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio
51109,US,VA,Louisa County,county,,iso1:us#iso2:us-va#fips:51109,,37591,0.075,other,22.0,,0.84,0.58,,,,2,1,2,4,0,,4,6505,75,,,,,,,,,,,,11,,23849,22251,2022-03-15,https://covidactnow.org/us/virginia-va/county/louisa_county,0.634,0.592,0,48266,3,,
51111,US,VA,Lunenburg County,county,,iso1:us#iso2:us-va#fips:51111,,12196,0.189,other,21.1,,0.73,0.72,,,,2,2,2,4,0,,4,2310,31,,,,,,,,,,,,0,,7133,6813,2022-03-15,https://covidactnow.org/us/virginia-va/county/lunenburg_county,0.585,0.559,0,13699,3,,
51113,US,VA,Madison County,county,,iso1:us#iso2:us-va#fips:51113,,13261,0.013,other,68.9,,1.08,0.44,,,,3,0,3,4,1,,4,2214,37,,,,,,,,,,,,21,,8313,7683,2022-03-15,https://covidactnow.org/us/virginia-va/county/madison_county,0.627,0.579,0,17270,3,,
51115,US,VA,Mathews County,county,,iso1:us#iso2:us-va#fips:51115,,8834,0.077,other,14.6,,1.1,1.04,,,,2,1,2,4,1,,4,1426,28,,,,,,,,,,,,3,,6176,5689,2022-03-15,https://covidactnow.org/us/virginia-va/county/mathews_county,0.699,0.644,0,13357,3,,
51117,US,VA,Mecklenburg County,county,,iso1:us#iso2:us-va#fips:51117,,30587,0.073,other,11.2,,0.53,0.57,,,0.81,2,1,2,4,0,,2,5986,111,,,,63,56,5,,10,8,1,,4,,19035,17137,2022-03-15,https://covidactnow.org/us/virginia-va/county/mecklenburg_county,0.622,0.56,1,38288,2,,
51119,US,VA,Middlesex County,county,,iso1:us#iso2:us-va#fips:51119,,10582,0.012,other,6.2,,0.86,1.09,,,,1,0,1,4,0,,4,1798,45,,,,,,,,,,,,2,,7679,7124,2022-03-15,https://covidactnow.org/us/virginia-va/county/middlesex_county,0.726,0.673,0,16472,1,,
51121,US,VA,Montgomery County,county,,iso1:us#iso2:us-va#fips:51121,,98535,0.072,other,15.5,,0.76,0.36,,,0.9,2,1,2,4,0,,3,18438,146,,,,264,166,21,,22,19,5,,20,,59422,55316,2022-03-15,https://covidactnow.org/us/virginia-va/county/montgomery_county,0.603,0.561,1,118594,3,,
51125,US,VA,Nelson County,county,,iso1:us#iso2:us-va#fips:51125,,14930,0.052,other,5.7,,0.62,0.97,,,,1,1,1,4,0,,4,2688,32,,,,,,,,,,,,4,,11139,10562,2022-03-15,https://covidactnow.org/us/virginia-va/county/nelson_county,0.746,0.707,0,23595,1,,
51127,US,VA,New Kent County,county,,iso1:us#iso2:us-va#fips:51127,,23091,0.04,other,7.6,,0.65,0.92,,,,1,1,1,4,0,,4,4573,32,,,,108,66,,,,,,,9,,15786,15130,2022-03-15,https://covidactnow.org/us/virginia-va/county/new_kent_county,0.684,0.655,0,31672,2,,
51131,US,VA,Northampton County,county,,iso1:us#iso2:us-va#fips:51131,,11710,0.092,other,3.7,,0.94,1.16,,,,1,1,1,4,1,,4,2136,61,,,,,,,,,,,,1,,9606,9159,2022-03-15,https://covidactnow.org/us/virginia-va/county/northampton_county,0.82,0.782,0,19981,2,,
51133,US,VA,Northumberland County,county,,iso1:us#iso2:us-va#fips:51133,,12095,0.063,other,9.8,,0.9,1.07,,,,1,1,1,4,0,,4,2152,43,,,,,,,,,,,,5,,8798,8147,2022-03-15,https://covidactnow.org/us/virginia-va/county/northumberland_county,0.727,0.674,0,19070,2,,
51135,US,VA,Nottoway County,county,,iso1:us#iso2:us-va#fips:51135,,15232,0.025,other,16.9,,0.6,0.8,,,,2,0,2,4,0,,4,3982,86,,,,,,,,,,,,5,,9432,8645,2022-03-15,https://covidactnow.org/us/virginia-va/county/nottoway_county,0.619,0.568,1,19076,3,,
51137,US,VA,Orange County,county,,iso1:us#iso2:us-va#fips:51137,,37051,0.039,other,7.2,,0.48,0.73,,,,1,1,1,4,0,,4,6847,84,,,,,,,,,,,,0,,23912,21759,2022-03-15,https://covidactnow.org/us/virginia-va/county/orange_county,0.645,0.587,0,47860,2,,
51139,US,VA,Page County,county,,iso1:us#iso2:us-va#fips:51139,,23902,0.044,other,12.6,,0.68,0.85,,,,2,1,2,4,0,,4,5545,118,,,,18,9,0,,1,0,,,9,,12617,11804,2022-03-15,https://covidactnow.org/us/virginia-va/county/page_county,0.528,0.494,0,25537,2,,
51141,US,VA,Patrick County,county,,iso1:us#iso2:us-va#fips:51141,,17608,0.054,other,5.7,,0.46,0.78,,,,1,1,1,4,0,,4,3549,90,,,,,,,,,,,,1,,8306,7439,2022-03-15,https://covidactnow.org/us/virginia-va/county/patrick_county,0.472,0.422,1,17166,1,,
51143,US,VA,Pittsylvania County,county,,iso1:us#iso2:us-va#fips:51143,,60354,0.142,other,33.4,,0.78,0.25,,,,3,2,3,4,0,,4,13676,185,,,,,,,,,,,,7,,33582,30527,2022-03-15,https://covidactnow.org/us/virginia-va/county/pittsylvania_county,0.556,0.506,0,67975,3,,
51145,US,VA,Powhatan County,county,,iso1:us#iso2:us-va#fips:51145,,29652,0.021,other,36.1,,0.96,0.55,,,,3,0,3,4,1,,4,4930,55,,,,,,,,,,,,15,,18406,16997,2022-03-15,https://covidactnow.org/us/virginia-va/county/powhatan_county,0.621,0.573,0,38749,3,,
51147,US,VA,Prince Edward County,county,,iso1:us#iso2:us-va#fips:51147,,22802,0.055,other,21.9,,0.71,0.63,,,0.61,2,1,2,4,0,,0,4681,65,,,,76,36,2,,8,4,0,,7,,11552,10508,2022-03-15,https://covidactnow.org/us/virginia-va/county/prince_edward_county,0.507,0.461,0,23948,3,,
51149,US,VA,Prince George County,county,,iso1:us#iso2:us-va#fips:51149,,38353,0.064,other,26.4,,0.77,0.49,,,,3,1,3,4,0,,4,8217,66,,,,,,,,,,,,7,,36572,32876,2022-03-15,https://covidactnow.org/us/virginia-va/county/prince_george_county,0.95,0.857,3,53120,3,,
51153,US,VA,Prince William County,county,,iso1:us#iso2:us-va#fips:51153,,470335,0.028,other,7.7,,0.97,0.26,,,0.71,1,0,1,4,1,,1,94039,720,,,,283,174,2,,27,19,0,,79,,396961,357865,2022-03-15,https://covidactnow.org/us/virginia-va/county/prince_william_county,0.844,0.761,4,748302,2,,
51155,US,VA,Pulaski County,county,,iso1:us#iso2:us-va#fips:51155,,34027,0.068,other,10.1,,0.49,0.51,,,,2,1,2,4,0,,4,7187,129,,,,61,32,2,,9,7,1,,12,,19738,18478,2022-03-15,https://covidactnow.org/us/virginia-va/county/pulaski_county,0.58,0.543,2,39492,2,,
51157,US,VA,Rappahannock County,county,,iso1:us#iso2:us-va#fips:51157,,7370,0.08,other,31.7,,1.29,1.0,,,,3,1,3,4,2,,4,913,9,,,,,,,,,,,,2,,5008,4475,2022-03-15,https://covidactnow.org/us/virginia-va/county/rappahannock_county,0.68,0.607,0,10240,3,,
51159,US,VA,Richmond County,county,,iso1:us#iso2:us-va#fips:51159,,9023,0.014,other,17.4,,0.85,1.02,,,,2,0,2,4,0,,4,2628,27,,,,,,,,,,,,3,,5717,5233,2022-03-15,https://covidactnow.org/us/virginia-va/county/richmond_county,0.634,0.58,2,11529,3,,
